"block","variable","item_name_de","item_name_en","group","n_valid","n_selected","pct"
"SO02","SO02_open_bricscad","BricsCAD","BricsCAD","MEP",15,1,6.66666666666667
"SO03","SO03_open_bimcollab","BIMcollab","BIMcollab","Architecture",1,1,100
"SO03","SO03_open_bimcollab","BIMcollab","BIMcollab","MEP",11,1,9.09090909090909
"SO03","SO03_open_newforma","Newforma Project Center","Newforma Project Center","Architecture",1,1,100
"SO03","SO03_open_newforma","Newforma Project Center","Newforma Project Center","MEP",11,0,0
"SO03","SO03_open_eplass","eplass","eplass","Architecture",1,0,0
"SO03","SO03_open_eplass","eplass","eplass","MEP",11,1,9.09090909090909
"SO03","SO03_open_teambeam","TeamBeam","TeamBeam","Architecture",1,0,0
"SO03","SO03_open_teambeam","TeamBeam","TeamBeam","MEP",11,1,9.09090909090909
"SO03","SO03_open_client_choice","Verschiedene Plattformen (vom Bauherrn vorgegeben)","Various platforms (specified by client)","Architecture",1,0,0
"SO03","SO03_open_client_choice","Verschiedene Plattformen (vom Bauherrn vorgegeben)","Various platforms (specified by client)","MEP",11,1,9.09090909090909
"SO03","SO03_open_planfred","PlanFred","PlanFred","Architecture",1,0,0
"SO03","SO03_open_planfred","PlanFred","PlanFred","MEP",11,1,9.09090909090909
"SO06","SO06_open_gaeb","Ausschreibungstexte im GAEB-Format","Tender texts in GAEB format","Architecture",8,0,0
"SO06","SO06_open_gaeb","Ausschreibungstexte im GAEB-Format","Tender texts in GAEB format","MEP",15,1,6.66666666666667
"SO06","SO06_open_step","STEP-Dateien","STEP files","Architecture",8,0,0
"SO06","SO06_open_step","STEP-Dateien","STEP files","MEP",15,1,6.66666666666667
